data
"[83,-80,4,0,20,21,20,22,18,22,17,21,15,20,15,18,14,15,14,12,15,9,16,6,17,4,18,2,20,1,22,0,23,0,23,0,24,0,24,1,23,1,23,1,22,1,21,2,21,1,20,1,19,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,3,-16,13,-17,10,-16,7,-13,5,-10,3,-6,4,-2,6,1,9,3,12,4,16,3,20,2,24,0,26,-3,27,-5,27,-6,26,-7,24,-7,21,-6,19,-4,16,-1,14,3,13,7,12,11,12,15,14,18,15]"
"[83,-80,4,0,-1,17,2,16,6,15,9,15,12,16,14,16,16,17,17,18,18,18,18,18,18,18,17,17,17,16,16,15,16,13,16,11,16,9,16,7,17,6,18,5,19,4,20,4,21,4,21,4,20,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,-4,9,-7,12,-11,14,-15,15,-18,15,-21,13,-24,11,-25,8,-24,5,-22,3,-19,2,-15,2,-12,3,-8,5,-5,8,-3,12,-2,16,-1,20,-2,23,-3,26,-4,28,-6,29,-7,30,-8,29,-8,27,-8,25]"
"[-118,32,8,0,-31,2,-31,1,-30,0,-28,-1,-26,-1,-24,-1,-22,1,-19,2,-17,4,-16,7,-15,10,-14,13,-14,15,-14,17,-15,17,-15,18,-16,18,-16,18,-16,17,-16,17,-16,16,-15,15,-14,15,-14,14,-13,14,-4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-6,-1,-21,2,-20,4,-17,4,-14,2,-10,-1,-7,-4,-6,-9,-5,-13,-6,-16,-8,-19,-11,-21,-14,-21,-18,-21,-20,-19,-22,-17,-22,-15,-21,-13,-20,-12,-17,-11,-14,-11,-10,-13,-6,-15,-2,-18,1,-21,3,-23,4]"
"[83,-80,4,0,27,10,27,11,26,12,25,12,23,11,21,9,19,7,18,5,17,2,17,-1,17,-4,17,-6,18,-8,19,-10,21,-10,21,-10,22,-10,22,-10,22,-9,22,-9,21,-8,20,-8,19,-8,18,-7,17,-7,4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,5,-8,19,-10,17,-11,14,-10,10,-7,8,-3,6,1,6,5,7,9,9,11,13,13,16,13,20,12,23,10,26,8,26,6,26,4,24,3,22,3,19,4,16,6,13,8,10,12,7,16,6,19,5,22,5]"
"[83,-80,4,0,-7,-14,-9,-12,-12,-10,-14,-9,-17,-9,-19,-8,-21,-8,-22,-8,-23,-8,-23,-8,-23,-8,-22,-7,-21,-6,-20,-5,-19,-4,-18,-3,-17,-1,-17,1,-17,2,-17,3,-18,4,-18,5,-19,5,-19,4,-19,4,-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,-1,-10,0,-13,3,-16,6,-18,9,-19,12,-19,14,-18,16,-16,16,-13,16,-11,13,-9,10,-8,7,-7,4,-8,0,-9,-3,-12,-6,-14,-7,-17,-8,-20,-9,-23,-8,-25,-7,-27,-6,-27,-5,-27,-5,-25,-4,-24]"
"[83,-80,4,0,4,18,4,18,3,18,2,17,2,16,2,14,3,13,4,11,5,9,6,8,8,7,9,7,11,6,12,6,13,7,13,7,13,7,13,7,13,7,12,7,12,7,11,7,11,7,10,6,10,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,-14,2,-13,0,-12,-1,-9,-2,-7,-1,-5,0,-3,2,-2,5,-3,8,-3,10,-5,12,-7,14,-9,14,-11,14,-12,14,-12,12,-12,11,-11,9,-10,8,-8,8,-5,8,-3,8,0,9,2,10,4,12,5,13]"
"[83,-80,4,0,5,-17,1,-17,-2,-17,-5,-18,-8,-20,-10,-21,-11,-22,-12,-23,-13,-23,-13,-24,-12,-24,-12,-23,-12,-21,-12,-20,-12,-18,-12,-16,-13,-14,-14,-13,-15,-12,-17,-11,-18,-11,-19,-11,-19,-11,-19,-11,-18,-12,-5,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,6,-9,9,-10,13,-12,17,-12,21,-10,23,-8,24,-5,24,-2,23,0,21,2,18,3,14,2,11,0,8,-4,6,-8,5,-12,5,-16,6,-20,7,-23,9,-25,11,-27,13,-27,14,-27,15,-26,15,-24,14,-22]"
"[83,-80,4,0,19,-23,20,-22,21,-21,20,-19,19,-18,17,-17,14,-16,11,-16,8,-16,5,-17,3,-18,0,-19,-1,-21,-2,-22,-2,-23,-2,-24,-2,-24,-1,-25,-1,-24,-1,-24,0,-23,0,-22,-1,-21,0,-20,0,-19,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,14,14,11,15,8,14,5,12,4,9,4,5,5,1,8,-3,12,-5,16,-6,20,-6,24,-4,26,-2,27,0,27,2,26,3,24,5,22,5,19,4,17,2,14,-1,12,-5,12,-9,12,-12,13,-16,13,-19]"
"[83,-80,4,0,16,7,16,3,16,-1,17,-4,19,-7,20,-9,22,-10,23,-11,24,-11,24,-11,23,-11,22,-11,21,-11,20,-11,18,-11,16,-12,15,-13,13,-14,12,-15,11,-16,10,-18,10,-18,11,-19,12,-18,12,-18,3,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,7,9,10,10,14,9,18,8,22,5,24,2,25,-1,25,-3,24,-5,21,-5,18,-4,14,-2,11,2,9,6,7,10,6,15,6,18,7,22,9,24,11,25,13,26,15,25,16,24,17,22,16,21,15]"
"[83,-80,4,0,1,-18,-2,-17,-6,-17,-9,-17,-12,-18,-14,-19,-16,-19,-17,-20,-18,-20,-18,-20,-18,-20,-18,-19,-17,-18,-17,-16,-16,-14,-16,-12,-17,-10,-17,-9,-18,-7,-19,-6,-20,-6,-21,-5,-22,-5,-22,-6,-21,-6,-6,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,4,-10,7,-12,11,-14,16,-14,19,-14,22,-12,24,-9,24,-6,23,-3,21,-2,18,-1,14,-1,11,-3,8,-5,5,-9,3,-13,2,-17,2,-21,3,-24,4,-27,6,-29,7,-30,8,-30,9,-29,9,-27,9,-25]"
