data
"[83,-80,4,0,14,-9,7,-3,0,3,-5,9,-11,15,-15,20,-18,25,-20,29,-21,32,-22,34,-21,35,-20,34,-19,31,-17,27,-15,22,-13,16,-11,9,-8,1,-5,-5,-3,-12,0,-18,3,-23,7,-27,10,-29,13,-29,3,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-1,-14,-3,-18,-3,-24,-2,-30,-2,-34,-1,-37,0,-39,1,-39,1,-37,2,-34,2,-30,2,-24,2,-17,1,-10,1,-2,-1,6,-3,14,-5,21,-8,26,-11,31,-15,35,-18,38,-21,38,-23,37,-24,35,-23,32,-22]"
"[-118,32,8,0,-5,16,-4,7,-4,-2,-3,-11,-3,-19,-4,-26,-5,-32,-6,-36,-8,-39,-9,-41,-9,-41,-9,-40,-8,-37,-7,-32,-5,-27,-2,-21,1,-14,3,-7,6,0,8,6,10,13,12,18,12,24,10,28,9,30,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,10,-8,13,-12,17,-17,20,-21,23,-25,25,-27,26,-29,25,-29,24,-29,22,-27,18,-23,14,-19,10,-14,5,-8,1,-1,-4,6,-8,13,-10,20,-12,27,-13,33,-14,38,-13,41,-13,43,-12,43,-10,41,-9,38]"
"[83,-80,4,0,9,-30,9,-31,8,-32,7,-31,5,-28,4,-25,4,-21,3,-16,3,-11,2,-5,3,1,3,6,4,11,5,16,5,20,6,23,5,25,5,25,4,25,3,25,2,23,0,20,-2,16,-4,12,-5,9,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-5,18,-17,17,-16,15,-14,12,-12,9,-9,5,-6,0,-3,-4,0,-9,4,-13,7,-16,11,-19,14,-21,16,-22,18,-22,20,-21,20,-19,19,-16,18,-14,16,-10,13,-7,9,-4,4,-1,-2,2,-8,4,-14,5,-18]"
"[83,-80,4,0,4,16,0,8,-4,0,-8,-8,-12,-15,-17,-20,-20,-25,-24,-28,-26,-30,-28,-31,-29,-31,-28,-29,-26,-27,-22,-24,-18,-21,-12,-17,-7,-13,-1,-8,5,-4,11,1,16,6,20,10,22,14,23,18,22,21,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,4,-13,5,-18,6,-24,6,-29,7,-34,6,-37,6,-38,5,-39,5,-37,4,-34,3,-30,2,-24,1,-18,0,-10,0,-2,0,7,0,14,2,22,4,29,6,34,8,39,11,42,13,43,13,42,13,40,13,37]"
"[83,-80,4,0,-3,-17,-1,-8,2,0,5,9,8,16,12,22,15,26,17,30,19,32,20,34,21,34,20,33,18,31,16,27,12,23,8,18,3,13,-1,7,-6,1,-10,-5,-14,-10,-17,-16,-18,-21,-18,-25,-17,-27,-4,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,-6,11,-7,16,-8,22,-9,28,-9,32,-9,35,-8,36,-8,37,-8,36,-7,33,-6,28,-5,23,-3,16,-2,8,0,0,0,-8,0,-15,-1,-23,-2,-30,-3,-36,-5,-40,-7,-43,-8,-45,-8,-44,-8,-41,-8,-39]"
"[83,-80,4,0,-1,7,-1,3,-2,-1,-3,-5,-3,-8,-4,-11,-5,-13,-6,-15,-7,-16,-7,-17,-7,-17,-7,-16,-7,-15,-6,-14,-4,-11,-3,-9,-1,-6,1,-4,2,-1,4,2,5,5,6,7,6,9,6,11,5,12,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-5,3,-7,4,-10,5,-12,6,-14,6,-15,6,-16,6,-16,5,-15,5,-14,4,-12,3,-10,2,-7,1,-4,0,-1,-2,3,-2,6,-2,9,-2,12,-2,15,-2,17,-1,18,-1,19,0,19,0,18,0,16]"
"[83,-80,4,0,-8,-15,-3,-8,2,0,7,7,12,13,17,18,21,22,25,25,28,26,30,27,30,27,29,26,27,24,23,22,18,19,13,15,7,11,1,7,-5,3,-11,-2,-17,-6,-21,-11,-24,-15,-24,-19,-24,-22,-6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,-3,13,-2,18,-2,24,-1,29,0,34,1,37,1,38,2,38,2,37,2,34,2,29,2,23,2,16,1,8,0,0,-2,-8,-4,-16,-7,-23,-9,-29,-13,-34,-16,-38,-18,-41,-20,-42,-20,-41,-20,-38,-19,-35]"
"[83,-80,4,0,2,-17,2,-8,2,1,1,10,2,18,2,25,3,31,4,35,5,38,6,40,6,40,6,39,5,37,4,32,2,26,0,20,-2,13,-4,6,-6,-2,-7,-9,-8,-15,-9,-22,-8,-27,-6,-30,-4,-33,-1,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,-9,10,-11,15,-14,20,-16,25,-17,29,-18,32,-19,33,-19,34,-18,32,-16,30,-13,26,-10,21,-7,15,-4,8,-1,0,3,-7,5,-15,7,-22,8,-29,9,-35,9,-40,8,-44,7,-45,6,-45,5,-43,5,-40]"
"[83,-80,4,0,-12,0,-6,-1,0,-2,6,-3,12,-4,17,-5,21,-7,24,-8,26,-9,27,-10,27,-10,26,-10,25,-9,22,-7,18,-5,14,-3,9,-1,4,2,-1,4,-6,5,-10,6,-14,7,-18,7,-21,6,-22,5,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,4,12,5,16,6,20,7,23,7,25,7,26,7,26,7,25,7,23,6,20,5,16,3,11,2,6,0,0,-1,-6,-2,-12,-2,-17,-3,-22,-3,-26,-2,-30,-2,-32,-1,-33,0,-33,0,-31,1,-29,1]"
"[83,-80,4,0,27,-14,28,-15,28,-15,27,-15,24,-14,21,-13,18,-11,13,-8,9,-5,4,-2,0,2,-5,6,-9,9,-12,12,-15,14,-17,16,-19,17,-20,17,-21,17,-21,15,-20,13,-18,10,-16,7,-13,3,-11,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-2,23,-7,22,-7,19,-6,16,-5,12,-4,7,-3,1,-3,-4,-2,-10,-2,-15,-1,-20,0,-24,1,-27,1,-29,2,-30,3,-30,4,-28,5,-25,5,-21,5,-17,4,-12,3,-6,1,0,-1,6,-3,12,-6,16,-8]"
