timestamp,user,accuracies,type
2025-06-09T19:16:22.930058,aline,"RandomForest: 0.0000, SVM: 0.0000, KNN: 0.0000, MLP: 0.0000, LogisticRegression: 0.0000",calibrated
2025-06-09T19:17:43.651588,aline,,not_authenticated
2025-06-09T19:17:48.113224,aline,,calibrated
2025-06-09T19:18:53.432263,aline,,not_authenticated
2025-06-09T19:18:57.809095,aline,,calibrated
2025-06-09T19:20:55.198540,giovani,,not_authenticated
2025-06-09T19:21:04.000526,giovani,,calibrated
2025-06-09T19:21:27.819120,giovani,"KNN: 1.0000, Binary_KNN: 1.0000",authenticated
2025-06-09T19:21:40.401278,giovani,"KNN: 1.0000, Binary_KNN: 1.0000",calibrated
2025-06-09T19:22:10.573473,giovani,"SVM: 0.9981, KNN: 1.0000, MLP: 0.6884, Binary_SVM: 0.9981, Binary_KNN: 1.0000, Binary_MLP: 0.6884",authenticated
2025-06-09T19:22:32.027580,giovani,"SVM: 0.9981, KNN: 1.0000, MLP: 0.6884, Binary_SVM: 0.9981, Binary_KNN: 1.0000, Binary_MLP: 0.6884",calibrated
2025-06-09T19:24:03.977562,aline,"RandomForest: 0.7500, KNN: 1.0000, MLP: 1.0000, LogisticRegression: 1.0000, Binary_RandomForest: 0.7500, Binary_KNN: 1.0000, Binary_MLP: 1.0000, Binary_LogisticRegression: 1.0000",authenticated
2025-06-09T19:24:36.523962,aline,"RandomForest: 0.7500, KNN: 1.0000, MLP: 1.0000, LogisticRegression: 1.0000, Binary_RandomForest: 0.7500, Binary_KNN: 1.0000, Binary_MLP: 1.0000, Binary_LogisticRegression: 1.0000",calibrated
2025-06-09T19:25:03.698210,giovani,"RandomForest: 0.6000, SVM: 0.9706, KNN: 1.0000, MLP: 1.0000, LogisticRegression: 0.9998, Binary_RandomForest: 0.6000, Binary_SVM: 0.9706, Binary_KNN: 1.0000, Binary_MLP: 1.0000, Binary_LogisticRegression: 0.9998",authenticated
2025-06-09T19:25:25.140648,giovani,"RandomForest: 0.6000, SVM: 0.9706, KNN: 1.0000, MLP: 1.0000, LogisticRegression: 0.9998, Binary_RandomForest: 0.6000, Binary_SVM: 0.9706, Binary_KNN: 1.0000, Binary_MLP: 1.0000, Binary_LogisticRegression: 0.9998",calibrated
2025-06-09T19:25:50.452322,aline,"LogisticRegression: 1.0000, Binary_LogisticRegression: 1.0000",authenticated
2025-06-09T19:26:12.936395,aline,"LogisticRegression: 1.0000, Binary_LogisticRegression: 1.0000",calibrated
2025-06-09T19:27:28.631606,giovani,"SVM: 0.8652, KNN: 1.0000, LogisticRegression: 1.0000, Binary_SVM: 0.8652, Binary_KNN: 1.0000, Binary_LogisticRegression: 1.0000",authenticated
2025-06-09T19:27:56.015169,giovani,"SVM: 0.8652, KNN: 1.0000, LogisticRegression: 1.0000, Binary_SVM: 0.8652, Binary_KNN: 1.0000, Binary_LogisticRegression: 1.0000",calibrated
2025-06-09T19:28:32.662536,aline,,not_authenticated
2025-06-09T19:29:27.381736,aline,,calibrated
2025-06-09T19:29:52.847461,giovani,"RandomForest: 0.6700, SVM: 0.6829, KNN: 1.0000, LogisticRegression: 0.9986, Binary_RandomForest: 0.6700, Binary_SVM: 0.6829, Binary_KNN: 1.0000, Binary_LogisticRegression: 0.9986",authenticated
2025-06-09T19:30:33.245052,giovani,"RandomForest: 0.6700, SVM: 0.6829, KNN: 1.0000, LogisticRegression: 0.9986, Binary_RandomForest: 0.6700, Binary_SVM: 0.6829, Binary_KNN: 1.0000, Binary_LogisticRegression: 0.9986",calibrated
2025-06-09T19:31:01.425970,aline,"MLP: 1.0000, Binary_MLP: 1.0000",authenticated
2025-06-09T19:32:00.677130,aline,"MLP: 1.0000, Binary_MLP: 1.0000",calibrated
2025-06-09T19:32:29.920291,giovani,"SVM: 0.8732, KNN: 1.0000, MLP: 1.0000, Binary_SVM: 0.8732, Binary_KNN: 1.0000, Binary_MLP: 1.0000",authenticated
2025-06-09T19:33:19.592893,giovani,"SVM: 0.8732, KNN: 1.0000, MLP: 1.0000, Binary_SVM: 0.8732, Binary_KNN: 1.0000, Binary_MLP: 1.0000",calibrated
2025-06-09T19:33:52.742034,aline,"RandomForest: 0.6500, KNN: 1.0000, MLP: 1.0000, LogisticRegression: 1.0000, Binary_RandomForest: 0.6500, Binary_KNN: 1.0000, Binary_MLP: 1.0000, Binary_LogisticRegression: 1.0000",authenticated
2025-06-09T19:34:56.847767,aline,"RandomForest: 0.6500, KNN: 1.0000, MLP: 1.0000, LogisticRegression: 1.0000, Binary_RandomForest: 0.6500, Binary_KNN: 1.0000, Binary_MLP: 1.0000, Binary_LogisticRegression: 1.0000",calibrated
2025-06-09T19:35:41.340887,giovani,,not_authenticated
2025-06-09T19:36:43.486085,giovani,,calibrated
2025-06-09T19:37:43.897390,aline,,not_authenticated
2025-06-09T19:39:23.921474,aline,,calibrated
2025-06-09T19:39:53.493929,giovani,,not_authenticated
2025-06-09T19:41:24.558515,giovani,,calibrated
2025-06-09T19:41:54.938038,aline,,not_authenticated
2025-06-09T19:43:31.401328,aline,,calibrated
